,sensitivity,specificity,ppv,npv,f1,accuracy
T-shirt/top,0.8266199649737302,0.8565113280530484,0.7637540453074434,0.8639910813823858,0.7939444911690496,0.8536666666666667
Trouser,0.9752883031301482,0.8399777489338031,0.9641693811074918,0.8410694392870405,0.9696969696969697,0.8536666666666667
Pullover,0.773015873015873,0.8631284916201117,0.7457886676875957,0.8668412193753506,0.7591582229150429,0.8536666666666667
Dress,0.8985270049099836,0.8485804416403786,0.8356164383561644,0.8558862062511697,0.8659305993690851,0.8536666666666667
Coat,0.8120689655172414,0.8581180811808118,0.7029850746268657,0.8726078799249531,0.7536,0.8536666666666667
Sandal,0.9577235772357724,0.8417827298050139,0.9334389857369255,0.8442913019184206,0.9454253611556983,0.8536666666666667
Shirt,0.4533106960950764,0.8972463500277214,0.717741935483871,0.8626510305614783,0.5556711758584808,0.8536666666666667
Sneaker,0.9087779690189329,0.8477578889093929,0.9361702127659575,0.8451066961000736,0.9222707423580786,0.8536666666666667
Bag,0.95260663507109,0.8419973914663685,0.9648,0.8407441860465116,0.958664546899841,0.8536666666666667
Ankle boot,0.967409948542024,0.8414251430681189,0.9463087248322147,0.8434492968171725,0.9567430025445293,0.8536666666666667
